game_id,hand_value,nb_bouts,nb_bouts_dog,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
69,22.0,2,0,1,1,25.0,3,-6
69,17.0,0,0,0,0,8.0,0,2
69,21.0,1,0,0,0,9.0,0,2
70,20.0,0,0,0,0,7.0,0,-1
70,23.0,1,0,1,1,50.0,1,3
70,21.0,0,0,0,0,2.0,0,-1
70,19.0,2,0,0,0,24.0,2,-1
71,14.0,0,0,0,0,12.0,0,4
71,25.0,1,0,1,1,21.0,1,-12
71,21.0,1,0,0,0,44.0,1,4
71,27.0,1,0,0,0,9.0,1,4
72,26.0,2,0,0,0,21.0,2,1
72,23.0,0,0,1,1,46.0,1,-3
72,19.0,0,0,0,0,9.0,0,1
72,20.0,1,0,0,0,12.0,0,1
73,28.0,1,0,0,0,25.0,0,4
73,22.0,1,0,0,0,24.0,2,4
73,18.0,0,0,1,1,20.0,0,-12
73,20.0,1,0,0,0,17.0,1,4
74,27.0,1,0,0,0,13.0,0,5
74,22.0,1,0,0,0,34.0,2,5
74,18.0,0,0,1,1,15.0,0,-15
74,21.0,1,0,0,0,26.0,1,5
75,16.0,0,2,0,0,35.0,1,3
75,27.0,1,2,0,0,25.0,0,3
75,16.0,0,2,1,1,14.0,2,-9
75,17.0,0,2,0,0,12.0,0,3
76,24.0,0,2,0,0,16.0,0,2
76,19.0,0,2,0,0,20.0,1,2
76,13.0,0,2,1,1,28.0,2,-6
76,24.0,1,2,0,0,21.0,0,2
77,17.0,0,0,0,0,4.0,0,-1
77,25.0,1,0,0,0,17.0,1,-1
77,30.0,2,0,1,1,46.0,2,3
77,11.0,0,0,0,0,13.0,0,-1
78,28.0,2,0,0,0,29.0,2,5
78,22.0,0,0,0,0,19.0,0,5
78,9.0,0,0,1,1,14.0,0,-15
78,26.0,1,0,0,0,26.0,1,5
79,18.0,1,0,0,0,6.0,1,2
79,25.0,1,0,1,1,22.0,2,-6
79,14.0,0,0,0,0,8.0,0,2
79,30.0,1,0,0,0,51.0,0,2
80,25.0,1,0,0,0,14.0,0,2
80,23.0,1,0,1,1,33.0,1,-6
80,17.0,0,0,0,0,18.0,0,2
80,20.0,1,0,0,0,19.0,2,2
81,18.0,1,0,0,0,32.0,1,2
81,19.0,0,0,0,0,10.0,0,2
81,29.0,2,0,1,1,31.0,2,-6
81,14.0,0,0,0,0,7.0,0,2
82,24.0,1,0,0,0,12.0,1,2
82,23.0,2,0,1,1,29.0,2,-6
82,19.0,0,0,0,0,13.0,0,2
82,16.0,0,0,0,0,30.0,0,2
