hand_value,nb_bouts,taking,taking_bid_order,number_of_points_achieved,nb_bouts_achieved,reward
26.0,1,1,1,19.0,0,-12
25.0,0,0,0,8.0,0,-2
18.0,0,1,1,53.0,3,6
22.0,2,0,0,24.0,2,-2
15.0,0,0,0,10.0,0,-2
23.0,1,1,2,27.0,1,-12
20.0,0,0,0,28.0,0,4
29.0,2,0,0,28.0,2,4
13.0,0,0,0,4.0,0,4
20.0,0,0,0,0,0,6
18.0,0,0,0,25.0,0,6
26.0,1,0,0,45.0,1,6
16.0,1,1,2,10.0,0,-18
20.0,1,0,0,22.0,0,5
19.0,0,0,0,17.0,0,5
26.0,0,1,2,20.0,1,-15
18.0,1,0,1,10.0,1,5
18.0,0,0,1,9.0,0,2
28.0,1,0,0,42.0,1,2
20.0,1,1,2,27.0,3,-6
18.0,1,0,0,9.0,0,2
30.0,1,0,0,27.0,0,-1
17.0,0,0,0,16.0,0,-1
11.0,0,0,0,6.0,0,-1
27.0,2,1,1,38.0,3,3
21.0,0,0,0,11.0,0,4
23.0,1,1,2,31.0,0,-12
18.0,0,0,0,25.0,1,4
20.0,2,0,1,8.0,1,4
25.0,2,1,2,28.0,0,-12
19.0,1,0,0,23.0,1,4
13.0,0,0,0,14.0,0,4
21.0,0,0,0,14.0,0,4
28.0,0,1,2,29.0,3,-6
11.0,0,0,0,12.0,0,2
27.0,2,0,0,30.0,2,2
19.0,1,0,1,19.0,1,2
25.0,0,0,1,18.0,0,4
33.0,3,1,2,29.0,1,-12
17.0,0,0,0,8.0,0,4
11.0,0,0,0,25.0,0,4
20.0,0,1,2,33.0,1,-9
19.0,1,0,0,22.0,1,3
23.0,0,0,0,24.0,0,3
23.0,2,0,1,24.0,2,3
21.0,1,0,0,30.0,1,-2
24.0,0,1,2,47.0,2,6
21.0,1,0,0,4.0,0,-2
18.0,1,0,1,11.0,1,-2
14.0,0,1,2,18.0,0,-15
24.0,1,0,0,20.0,1,5
21.0,0,0,0,12.0,0,5
18.0,1,0,1,28.0,1,5
21.0,0,0,0,38.0,1,7
35.0,2,0,0,36.0,2,7
18.0,0,0,0,10.0,0,7
9.0,0,1,2,5.0,0,-21
26.0,3,0,0,10.0,2,3
17.0,0,1,2,32.0,1,-9
22.0,0,0,0,27.0,1,3
18.0,0,0,0,17.0,0,3
30.0,2,0,0,43.0,3,5
13.0,1,0,0,16.0,1,5
21.0,0,0,0,9.0,0,5
19.0,0,1,2,25.0,0,-15
27.0,0,0,1,6.0,0,4
16.0,1,1,2,28.0,0,-12
17.0,0,0,0,40.0,0,4
26.0,2,0,0,17.0,2,4
17.0,0,1,2,10.0,0,-18
22.0,1,0,0,22.0,1,6
26.0,2,0,0,38.0,2,6
16.0,0,0,1,7.0,0,6
18.0,1,0,0,19.0,1,3
25.0,2,0,0,40.0,2,3
19.0,0,0,0,11.0,0,3
17.0,0,1,1,19.0,2,-9
13.0,0,1,2,29.0,1,-12
26.0,2,0,0,26.0,2,4
27.0,1,0,0,33.0,0,4
22.0,0,0,0,6.0,0,4
18.0,1,0,1,23.0,1,6
22.0,1,1,2,16.0,0,-18
24.0,1,0,0,33.0,1,6
24.0,0,0,0,16.0,0,6
18.0,0,0,0,28.0,1,5
20.0,1,0,0,3.0,0,5
